size , Run1 Run2 Run3 Run4 Run5 Run6 Run7 Run8 Run9 Run10 Run11 Run12 Run13 Run14 Run15 Run16 Run17 Run18 Run19 Run20
1000, 255359, 256373, 251668, 244300, 251527, 244546, 258515, 231467, 260144, 259307, 244253, 248194, 245957, 254844, 245329, 253414, 247528, 239095, 247076, 250981
1500, 563554, 553305, 567345, 553445, 566415, 565824, 542741, 558805, 567531, 570685, 569008, 576810, 553762, 551841, 578212, 553476, 567304, 563550, 563578, 566387
2000, 1011635, 987108, 961627, 1014879, 1010852, 988826, 1020081, 983833, 1003870, 1011157, 990819, 973339, 994434, 1001173, 1029623, 999235, 996305, 982768, 1032472, 990787
2500, 1546985, 1558550, 1584071, 1537049, 1579634, 1551720, 1541312, 1574025, 1560457, 1578256, 1561968, 1500462, 1583775, 1527428, 1542572, 1577715, 1576272, 1547802, 1545866, 1573224
3000, 2251905, 2238899, 2302863, 2276727, 2256966, 2239352, 2234516, 2235241, 2246182, 2253896, 2283665, 2271257, 2241143, 2233338, 2279213, 2219775, 2236492, 2288342, 2248718, 2224806
3500, 3021920, 3064495, 3032089, 3045345, 3061847, 3089136, 3143675, 3108645, 3012599, 3029256, 3076887, 3050978, 3096789, 3081700, 3037964, 3093553, 2982235, 2998391, 3018754, 3002731
4000, 3948274, 3991096, 3978375, 3970687, 3979358, 3961470, 4082385, 3937241, 3942885, 3966970, 4086861, 4033181, 3983705, 3950202, 4020715, 4012911, 3971814, 3994766, 4019241, 4023468
4500, 5147027, 5132483, 5083545, 5088753, 5124408, 5125909, 5039089, 5151831, 5054474, 5183567, 4946445, 4997251, 5045148, 4989315, 5084590, 5013726, 5036705, 5067983, 5091889, 4989953
5000, 6194976, 6237355, 6258055, 6257636, 6171495, 6297707, 6173830, 6217293, 6177956, 6337715, 6251810, 6270365, 6084243, 6201650, 6254180, 6285699, 6258240, 6198322, 6264010, 6232781
5500, 7485993, 7557103, 7716891, 7655873, 7493069, 7547824, 7606288, 7496330, 7669213, 7575201, 7553811, 7599990, 7654249, 7641754, 7543081, 7594290, 7662951, 7634443, 7492417, 7601836
6000, 8947679, 9054806, 9048026, 9130902, 9024051, 8961697, 8908581, 8949359, 9044201, 8971657, 9064231, 9034056, 9029464, 8915207, 8908706, 9132297, 8892261, 8954598, 9094172, 8979174
6500, 10638033, 10634756, 10633605, 10627084, 10472700, 10672228, 10472026, 10614842, 10493717, 10593929, 10574509, 10681906, 10612638, 10666655, 10454495, 10482299, 10497206, 10526164, 10497179, 10432966
7000, 12326139, 12288637, 12499033, 12062910, 12167431, 12331804, 12139577, 12226036, 12337489, 12303643, 12171329, 12246702, 12169694, 12316230, 12261407, 12302115, 12282382, 12221818, 12181907, 12307420
7500, 14151417, 13986085, 14043023, 13893497, 14167722, 14019407, 13990889, 14071203, 14050840, 14089564, 14010677, 14282115, 13954614, 14144012, 14097128, 14100315, 14110047, 14240112, 14126650, 14073266
8000, 15837073, 16013555, 16065314, 16103859, 15889382, 16136429, 15946629, 16103494, 16131893, 16138572, 15934343, 16025657, 16120210, 16129880, 16001355, 15953744, 15968312, 15984403, 16076409, 15797562
8500, 17914905, 17903608, 18070290, 18036176, 18128528, 18158191, 18168261, 18031540, 17839785, 18087208, 18025033, 18215693, 18250044, 18102483, 18024222, 18216057, 18072402, 18195431, 18072728, 18020658
9000, 20217752, 20352055, 20036669, 20008987, 20332855, 20654640, 20027699, 20312077, 20216794, 20216261, 20252218, 20279396, 20546667, 20404662, 20239237, 20467526, 20145096, 20227062, 20309681, 20256547
9500, 22503741, 22707341, 22477291, 22554098, 22113685, 22290630, 22661609, 22270116, 22379910, 22461895, 22511311, 22366303, 22544479, 22537797, 22620867, 22407179, 22528236, 22924885, 22435917, 22582731
